MPH,2426,MNL,2397
OZC,4204,MNL,2397
PPS,2433,MNL,2397
RXS,6026,MNL,2397
SUG,6016,MNL,2397
TUG,6021,MNL,2397
ZAM,2404,MNL,2397
AUX,7376,PMW,4214
BRA,7373,BSB,2531
BRA,7373,SSA,2621
BSB,2531,BRA,7373
BSB,2531,OPS,7367
BSB,2531,RAO,2613
CAC,2535,GRU,2564
CGB,2548,GYN,2562
CGB,2548,OPS,7367
CGR,2538,DOU,7380
DOU,7380,CGR,2538
DOU,7380,GRU,2564
GIG,2560,RAO,2613
GRU,2564,CAC,2535
GRU,2564,DOU,7380
GRU,2564,RAO,2613
GRU,2564,UBA,2635
GRU,2564,UDI,2633
GRU,2564,VDC,6039
GYN,2562,CGB,2548
GYN,2562,PMW,4214
GYN,2562,RAO,2613
GYN,2562,UDI,2633
OPS,7367,BSB,2531
OPS,7367,CGB,2548
PLU,2528,RAO,2613
PMW,4214,AUX,7376
PMW,4214,GYN,2562
RAO,2613,BSB,2531
RAO,2613,GIG,2560
RAO,2613,GRU,2564
RAO,2613,GYN,2562
RAO,2613,PLU,2528
RAO,2613,SJP,2619
RAO,2613,UDI,2633
SJP,2619,RAO,2613
SSA,2621,BRA,7373
SSA,2621,VDC,6039
UBA,2635,GRU,2564
UBA,2635,UDI,2633
UDI,2633,GRU,2564
UDI,2633,GYN,2562
UDI,2633,RAO,2613
UDI,2633,UBA,2635
VDC,6039,GRU,2564
VDC,6039,SSA,2621
BRL,5726,ORD,3830
BRL,5726,STL,3678
DEC,4042,ORD,3830
DEC,4042,STL,3678
JBR,3591,STL,3678
ORD,3830,BRL,5726
ORD,3830,DEC,4042
STL,3678,BRL,5726
STL,3678,DEC,4042
STL,3678,JBR,3591
CGA,7144,HYL,7145
CGA,7144,KTN,3808
HYL,7145,CGA,7144
HYL,7145,KTB,7147
HYL,7145,KTN,3808
KTB,7147,HYL,7145
KTB,7147,KTN,3808
KTN,3808,CGA,7144
KTN,3808,HYL,7145
KTN,3808,KTB,7147
KTN,3808,MTM,7146
MTM,7146,KTN,3808
ACC,248,DKR,1084
ACC,248,LOS,273
ACC,248,ROB,1063
BCN,1218,BJL,1050
BJL,1050,BCN,1218
BJL,1050,DKR,1084
BJL,1050,FNA,1059
CKY,4162,OXB,5665
DKR,1084,ACC,248
DKR,1084,BJL,1050
DKR,1084,DLA,897
DKR,1084,FNA,1059
DKR,1084,LOS,273
DKR,1084,OXB,5665
DLA,897,DKR,1084
DLA,897,LOS,273
FNA,1059,BJL,1050
FNA,1059,DKR,1084
FNA,1059,LGW,502
FNA,1059,ROB,1063
LGW,502,FNA,1059
LOS,273,ACC,248
LOS,273,DKR,1084
LOS,273,DLA,897
LOS,273,ROB,1063
OXB,5665,CKY,4162
OXB,5665,DKR,1084
ROB,1063,ACC,248
ROB,1063,FNA,1059
ROB,1063,LOS,273
AKV,5506,YIK,5504
AKV,5506,YPX,6727
XGR,5512,YVP,154
YGL,62,YGW,5496
YGL,62,YPX,6727
YGL,62,YUL,146
YGW,5496,YGL,62
YGW,5496,YPH,5520
YGW,5496,YSK,5529
YGW,5496,YUD,5515
YGW,5496,YUL,146
YGW,5496,YUY,149
YIK,5504,AKV,5506
YIK,5504,YZG,5535
YKG,5481,YPJ,5508
YKG,5481,YQC,5499
YKG,5481,YVP,154
YKL,80,YQB,111
YKL,80,YVP,154
YKL,80,YWK,161
YKL,80,YZV,202
YPH,5520,YPX,6727
YPH,5520,YUD,5515
YPH,5520,YVP,154
YPJ,5508,YKG,5481
YPJ,5508,YTQ,6728
YPJ,5508,YVP,154
YPX,6727,AKV,5506
YPX,6727,YGL,62
YPX,6727,YPH,5520
YPX,6727,YVP,154
YQB,111,YKL,80
YQB,111,YUL,146
YQC,5499,YKG,5481
YQC,5499,YWB,7253
YSK,5529,YGW,5496
YSK,5529,YUD,5515
YTQ,6728,YPJ,5508
YTQ,6728,YVP,154
YUD,5515,YGW,5496
YUD,5515,YPH,5520
YUD,5515,YSK,5529
YUL,146,YGL,62
YUL,146,YGW,5496
YUL,146,YQB,111
YUL,146,YUY,149
YUY,149,YGW,5496
YUY,149,YUL,146
YVP,154,XGR,5512
YVP,154,YGW,5496
YVP,154,YKG,5481
YVP,154,YKL,80
YVP,154,YPH,5520
YVP,154,YPJ,5508
YVP,154,YPX,6727
YVP,154,YTQ,6728
YWB,7253,YQC,5499
YWB,7253,YZG,5535
YWK,161,YKL,80
YWK,161,YZV,202
YZG,5535,YIK,5504
YZG,5535,YWB,7253
YZV,202,YKL,80
YZV,202,YWK,161
JIB,4119,DXB,2188
JIB,4119,JED,2072
JIB,4119,MGQ,5687
MGQ,5687,NBO,4059
NBO,4059,MGQ,5687
BKK,3885,SIN,3316
DRW,3999,SIN,3316
HAK,4120,SIN,3316
HGH,3386,SIN,3316
HKG,3077,SIN,3316
HKT,3179,SIN,3316
KIX,3992,MNL,2397
KIX,3992,TPE,2276
KUL,3304,SIN,3316
MNL,2397,KIX,3992
MNL,2397,SIN,3316
PEN,3308,SIN,3316
PER,3351,SIN,3316
PNH,3034,SIN,3316
REP,3035,SIN,3316
RGN,3239,SIN,3316
